SKILL_AREA_ID,SKILL_AREA_NAME,SKILL_AREA_STATUS,REPLACES_SKILL_AREA_ID,SKILL_AREA_CREATION_RATIONALE,SKILL_AREA_NOTES,CONTENT_AREA_ID,CONTENT_AREA_SHORT_NAME,CONTENT_AREA_NAME,LAST_CHANGE_TYPE,LAST_BATCH_NAME
f7b876b1-479d-e311-b77c-005056801da1,Algebraic Thinking,Released,,,,2,Math,Mathematics,initial,RSLBASE_20240701
36c2b6a5-a69f-e311-9503-005056801da1,Alphabetic Knowledge,Released,,,,1,ELA,English Language Arts,initial,RSLBASE_20240701
c46d5228-e69f-e311-9503-005056801da1,Analysis and Comparison,Released,,,,1,ELA,English Language Arts,initial,RSLBASE_20240701
02b976b1-479d-e311-b77c-005056801da1,"Angles, Segments, and Lines",Released,,,,2,Math,Mathematics,initial,RSLBASE_20240701
d16d5228-e69f-e311-9503-005056801da1,Argumentation,Released,,,,1,ELA,English Language Arts,initial,RSLBASE_20240701
269ce9ac-1265-4dab-a56a-50ecf79d4961,Argumentative Writing,Development,,,,1,ELA,English Language Arts,addition,RSLCHANGE_ELA_20240816_01_01
cf6d5228-e69f-e311-9503-005056801da1,Author's Purpose and Perspective,Released,,,,1,ELA,English Language Arts,initial,RSLBASE_20240701
c16d5228-e69f-e311-9503-005056801da1,Author's Word Choice and Figurative Language,Released,,,,1,ELA,English Language Arts,initial,RSLBASE_20240701
ab6d5228-e69f-e311-9503-005056801da1,Blending and Segmenting,Released,,,,1,ELA,English Language Arts,initial,RSLBASE_20240701
237157d3-c7e5-4918-a775-9f569f89358e,Capitalization and Punctuation,Development,,,,1,ELA,English Language Arts,addition,RSLCHANGE_ELA_20240816_01_01
cc6d5228-e69f-e311-9503-005056801da1,Cause and Effect,Released,,,,1,ELA,English Language Arts,initial,RSLBASE_20240701
2b6d6eae-b34e-48e3-9754-dce8361db2aa,Character and Plot,Released,,,,1,ELA,English Language Arts,initial,RSLBASE_20240701
f5733314-b279-42b1-8c0b-5ab48f036cb7,Circles,Released,,,,2,Math,Mathematics,initial,RSLBASE_20240701
