CONTENT_AREA_SHORT_NAME,SKILL_AREA_NAME,GRADE_LEVEL_SHORT_NAME,SKILL_ID,SKILL_NAME,PEDAGOGICAL_LIMITS
ELA,Character and Plot,1,11334c9c-a69f-e311-9503-005056801da1,"Identify the basic elements of a story's plot (e.g., problem, important events)",
ELA,Character and Plot,1,1210f61e-e69f-e311-9503-005056801da1,Describe characters using key details,
ELA,Character and Plot,1,1410f61e-e69f-e311-9503-005056801da1,Describe major events in a story using key details from the text,
ELA,Character and Plot,1,365aef20-ccdd-4fdc-863e-5ae4cacb43ee,"Identify directly stated causes and effects in a literary text (e.g., describe what makes an event happen or a character act a certain way)",
ELA,Character and Plot,1,ec11a127-6c46-47f0-ae39-640623fff792,"Give the reasons for characters' actions and feelings (e.g., why does he feel sad?)",
ELA,Character and Plot,2,1710f61e-e69f-e311-9503-005056801da1,Describe major and minor characters and their traits using key details,
ELA,Character and Plot,2,1810f61e-e69f-e311-9503-005056801da1,"Identify a story's problem and its resolution (e.g., why is Helen unhappy? How does Ben find his dog?)",
ELA,Character and Plot,2,1910f61e-e69f-e311-9503-005056801da1,"Describe how characters respond to major events and challenges (e.g., how does the character solve the problem?)",
ELA,Character and Plot,2,8cfb7bbb-a671-40cd-9e9b-1abbc2cdfe7c,Describe how events in a literary text lead to other events and how actions have consequences/reactions,
ELA,Character and Plot,7,1c69e0a8-f867-443b-b8be-b931adcb2070,Analyze internal and external character responses and how these affect the plot,
ELA,Character and Plot,7,3b10f61e-e69f-e311-9503-005056801da1,"Explain how characters are revealed through their thoughts and actions, through the thoughts of other characters, through dialogue, and through the author's descriptions",
ELA,Character and Plot,7,3c10f61e-e69f-e311-9503-005056801da1,"Analyze how characters' actions, thoughts, motivations, and relationships shape the plot",
ELA,Character and Plot,7,3e10f61e-e69f-e311-9503-005056801da1,"Analyze how actions and events in the plot influence other story elements (e.g., how events shape characters)",
ELA,Character and Plot,7,45334c9c-a69f-e311-9503-005056801da1,"Analyze plot structure and development (e.g., conflict and resolution, rising and falling action, subplots) and determine how events advance the plot, explain previous events, and foreshadow later events",
ELA,Character and Plot,7,46334c9c-a69f-e311-9503-005056801da1,Evaluate the credibility of the characters and plot in a work of fiction by providing specific details from the text as evidence,
ELA,Character and Plot,7,806de533-b3b6-4c8f-a55b-a8f9817beb51,"Explain how different types of characters in a story (e.g., static, dynamic, protagonist, antagonist) influence the plot","Also consider: Analyze how characters' actions, thoughts, motivations, and relationships shape the plot
Analyze internal and external character responses and how these affect the plot (Flag to improve this note)"
ELA,Character and Plot,8,4410f61e-e69f-e311-9503-005056801da1,"Analyze characters' traits, responses, and motives and how the central character influences the plot or theme",
ELA,Character and Plot,8,4510f61e-e69f-e311-9503-005056801da1,"Analyze plot structure and development, including how conflicts are resolved (e.g., how particular lines of dialogue and events propel the action or reveal character)",
ELA,Character and Plot,8,50334c9c-a69f-e311-9503-005056801da1,"Determine the type of conflict present in a story (e.g., person vs. person/self/nature)",
ELA,Character and Plot,8,52334c9c-a69f-e311-9503-005056801da1,"Analyze how authors reveal character (e.g., thoughts, dialogue, dialect)",
ELA,Character and Plot,8,58334c9c-a69f-e311-9503-005056801da1,Evaluate the credibility and consistency of the characters and plot and whether this affects the quality of the text,
ELA,"Consonants, Blends, Digraphs",1,82314c9c-a69f-e311-9503-005056801da1,"Isolate and identify final consonant sounds in single-syllable words (e.g., Match the word to a given final consonant sound. Read the words <i>top</i>, <i>old</i>, and <i>lot</i> and recognize that <i>lot</i> ends with the sound /t/.)",
ELA,"Consonants, Blends, Digraphs",1,8b314c9c-a69f-e311-9503-005056801da1,"Use knowledge of initial and final consonants to differentiate between written words (e.g., pick which word sounds like <i>leak</i> but ends with /d/ when reading the words <i>lead</i>, <i>leap</i>, and <i>load</i>)",
ELA,"Consonants, Blends, Digraphs",1,c50ff61e-e69f-e311-9503-005056801da1,"Isolate, identify, and distinguish initial consonant blends to decode regularly spelled words (e.g., pick the word that starts with /bl/ from choices <i>block</i>, <i>brew</i>, <i>book</i>)",
ELA,"Consonants, Blends, Digraphs",1,c60ff61e-e69f-e311-9503-005056801da1,"Recognize and identify the spelling-sound correspondences for common consonant digraphs in words (e.g., pick the word that has /sh/ from choices <i>saw</i>, <i>wash</i>, <i>have</i>)",
ELA,"Consonants, Blends, Digraphs",1,c70ff61e-e69f-e311-9503-005056801da1,Substitute final consonants or consonant blends to create new words,
ELA,"Consonants, Blends, Digraphs",2,64d91921-f72f-491f-9926-2e8a4830de39,"Decode grade-appropriate one- and two-syllable words using knowledge of consonant trigraphs (e.g., kitchen, bridge)",
ELA,"Consonants, Blends, Digraphs",2,9c314c9c-a69f-e311-9503-005056801da1,"Recognize spelling patterns in words with initial consonant blends of two or three letters (e.g., The word is <i>strap</i>. Pick the letters that make the sound at the beginning of <i>strap</i>. Pick from <i>spl</i>, <i>spr</i>, <i>str</i>.)",
ELA,"Consonants, Blends, Digraphs",2,d90ff61e-e69f-e311-9503-005056801da1,"Recognize associated spelling patterns of final consonant blends (e.g., pick the letters that make the last sound in the word <i>desk</i>)",
ELA,Narrative Writing,1,19547681-0298-46e0-b2cd-de36e2e733b6,"Compose a narrative appropriate to task, audience, and purpose in response to a prompt based on first-grade reading",This is more of a cumulative skill assessing general reader response to a text. The reading material can be any genre: the resulting writing is specified by writing type. Users should use more specific related skills if the standard and/or content warrants it.
ELA,Narrative Writing,1,1b1a295a-edd0-432c-860f-6c9f6e95c559,Provide closure to events in first-grade narrative writing,
