SKILL_ID,SKILL_NAME,SKILL_SHORT_NAME,SKILL_AREA_NAME,CONTENT_AREA_NAME,CONTENT_AREA_SHORT_NAME,PEDAGOGICAL_LIMITS,DOK_LEVEL,IS_EN_US_FOCUS_SKILL,IS_G3_READING_PROFICIENCY_SKILL,IS_G4_PROFICIENCY_SKILL,IS_KINDERGARTEN_READINESS_SKILL,HAS_CBM_MEASURE,IS_ALGEBRA_READINESS_SKILL,GRADE_LEVEL_DEFAULT_ID,GRADE_LEVEL_NAME,GRADE_LEVEL_SHORT_NAME,GRADE_LEVEL_DEFAULT_ORDER,USP_SECTION_CODE,USP_SECTION_NAME,USP_SECTION_DEFAULT_ORDER,SKILL_AREA_ID,CONTENT_AREA_ID,USP_SECTION_ID,SKILL_STATUS,USP_SKILL_STATUS,REPLACES_SKILL_ID,SKILL_CREATION_RATIONALE,SKILL_NOTES,DEV_NOTE,LAST_CHANGE_TYPE,LAST_CHANGE_BATCH
0012f61e-e69f-e311-9503-005056801da1,Describe instances in which authors writing about the same informational topic disagree or arrive at different conclusions,Describe differing opinions of same topic,Analysis and Comparison,English Language Arts,ELA,,,false,false,false,false,false,false,GRADE_8,Grade 8,8,8,8,Grade 8,10,c46d5228-e69f-e311-9503-005056801da1,1,eaa4670b-a39f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
00324c9c-a69f-e311-9503-005056801da1,"Analyze and explain the etymology of significant content-area terms (e.g., populist, deficit, conscription; magnetism, nucleus, chromosome)",Analyze etymology of content-area terms,Word Meaning and Reference Materials,English Language Arts,ELA,,,false,false,false,false,false,false,GRADE_12,Grade 12,12,12,12,Grade 12,14,d3ffc223-1a76-4cf6-97a7-8f8d47ca60e0,1,57314c9c-a69f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
0111f61e-e69f-e311-9503-005056801da1,"Analyze works in light of their genre characteristics such as a play's dramatic conventions (e.g., chorus, monologue, dramatic irony) or a poem's meter, and analyze how and the degree to which generic conventions affect the text's meaning",Analyze how generic conventions affect meaning,Conventions and Range of Reading,English Language Arts,ELA,,,false,false,false,false,false,false,GRADE_11,Grade 11,11,11,11,Grade 11,13,87cf391c-a8c5-4ed3-ac46-c64869bb21fe,1,56314c9c-a69f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
0410f61e-e69f-e311-9503-005056801da1,"Identify purpose for reading (e.g., for enjoyment, to answer a question, to learn about a subject, to solve a problem) and comprehend on-level texts demonstrated in a variety of ways (e.g., writing in a reading response journal, writing an answer to the question, discussing/writing about the solution)",Identify purpose for reading on-level texts,Purpose for Reading,English Language Arts,ELA,,,true,false,false,false,true,false,GRADE_4,Grade 4,4,4,4,Grade 4,6,7d51565d-3700-e411-9e54-005056801da1,1,e6a4670b-a39f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
004be2df-6986-4faa-9009-6a5144df0773,"Use knowledge of word relationships to complete analogies (e.g., item/category, whole/part)",Use word relationships to complete analogies,Word Relationships,English Language Arts,ELA,,,false,false,false,false,false,false,GRADE_6,Grade 6,6,6,6,Grade 6,8,d26d5228-e69f-e311-9503-005056801da1,1,e8a4670b-a39f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
00afa79b-d0d7-4067-953c-1e246af7cca3,Identify prepositions,Identify prepositions,Parts of Speech,English Language Arts,ELA,"The originating product skill (Lalilo) is ""in isolation."" The RSL skill does not have to be. However, if ",,,,,,,,GRADE_K,Kindergarten,K,0,,,,c342a195-97e4-48e2-bf90-be68d8637234,1,,Development,Unknown,,,Lalilo Skill (1338158): I can identify preposition words in isolation. (Prepositions),,addition,RSLCHANGE_ELA_20241107_03_20
00c114c1-a92b-4c2e-873a-62a4d3af5aad,Compose an argumentative text in response to a prompt based on third-grade reading using characteristics of genre and craft,Compose argumentative response to third-grade text,Argumentative Writing,English Language Arts,ELA,,,,,,,,,GRADE_3,Grade 3,3,3,,,,269ce9ac-1265-4dab-a56a-50ecf79d4961,1,,Development,Unknown,,,Freckle Skill (lvxwnbex): Compose an argumentative text in response to a prompt based on 3rd-grade reading using genre characteristics and craft.,,update,RSLCHANGE_ELA_20250605_01_01
00e5a878-3f12-43f1-af48-c26b95cb6eb8,"Reflect on personal text preferences and expand interest and knowledge of genres through wide reading and viewing, analyzing how content appeals to different audiences",Reflect / expand on text preferences,Conventions and Range of Reading,English Language Arts,ELA,,,false,false,false,false,false,false,GRADE_11,Grade 11,11,11,11,Grade 11,13,87cf391c-a8c5-4ed3-ac46-c64869bb21fe,1,56314c9c-a69f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
0119958d-687b-41be-a1e4-e05145ca1ba3,"Blend grade-appropriate words with a greater number of phonemes, including consonant blends and consonant digraphs (e.g., slide, whisper, branch)",Blend words with a greater number of phonemes,Blending and Segmenting,English Language Arts,ELA,"The VA standard for which this is written is virtually the same for grade 1 and 2. They don't provide a way to advance  from grade 1, so we said ""a greater number of phonemes."" Use your judgment about what is grade-appropriate, and consider looking at gr 1 Blending and Segmenting skills.",,,,,,,,GRADE_2,Grade 2,2,2,,,,ab6d5228-e69f-e311-9503-005056801da1,1,,Development,Unknown,,needed for CPR for VA,,,addition,RSLCHANGE_ELA_20250127_01_02
01d75cea-cc1e-4e53-86a0-bc5530de0c91,"Decode grade-appropriate multisyllable words using knowledge of consonant digraphs (e.g., brother)",Decode multisyllable words using digraphs,Syllables,English Language Arts,ELA,,,false,false,false,false,false,false,GRADE_2,Grade 2,2,2,2,Grade 2,4,b36d5228-e69f-e311-9503-005056801da1,1,e4a4670b-a39f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
