relationship_id,skill_a_id,skill_b_id,skill_a_name,skill_b_name,relationship_type,confidence,composite_score,recommended_action,priority,priority_score,rationale
REL-28a3bfaa-479d-e311-b77c-005056801da1-7ba3bfaa-479d-e311-b77c-005056801da1,28a3bfaa-479d-e311-b77c-005056801da1,7ba3bfaa-479d-e311-b77c-005056801da1,Add within 20 using properties of operations,Add 10 to a 2-digit number using mental math,DISTINCT,0.9,0.48,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-8ebac51a-a39f-e311-9503-005056801da1-cee82c62-86c3-437d-a1a8-aa75a229fbfd,cee82c62-86c3-437d-a1a8-aa75a229fbfd,8ebac51a-a39f-e311-9503-005056801da1,Answer a question using information from an object graph,"Answer a question using an ordinal number up to ""twentieth""",DISTINCT,0.9,0.26,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-6dbac51a-a39f-e311-9503-005056801da1-996c6bd8-3024-46e3-8c61-b7c5518e0526,6dbac51a-a39f-e311-9503-005056801da1,996c6bd8-3024-46e3-8c61-b7c5518e0526,Relate a picture model to a basic addition fact,"Relate a number up to 1,000 to a point on a number line",DISTINCT,0.9,0.44999999999999996,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-297d63d8-2400-e411-9e54-005056801da1-b7e3216a-1040-491e-bbb3-7d0aa36407a0,297d63d8-2400-e411-9e54-005056801da1,b7e3216a-1040-491e-bbb3-7d0aa36407a0,Add a two-digit number and ones using concrete objects and pictorial representations,Add within 100 using one of various strategies,DISTINCT,0.9,0.48,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-2716e1b1-5870-432d-bbe8-cc2fedf4be33-ef0b6ac3-ddcf-4a54-9362-da39b5ff709a,2716e1b1-5870-432d-bbe8-cc2fedf4be33,ef0b6ac3-ddcf-4a54-9362-da39b5ff709a,"Use dialogue to develop experiences, events, and/or characters in seventh-grade narrative writing","Use description to develop experiences, events, and/or characters in eighth-grade narrative writing",DISTINCT,0.9,0.45,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-08f33e9f-2cc6-41a9-942b-2d485631ecae-e4cc5ab7-d4cc-48d9-86c2-c71303d7ba0f,08f33e9f-2cc6-41a9-942b-2d485631ecae,e4cc5ab7-d4cc-48d9-86c2-c71303d7ba0f,Solve a take-from word problem within 20,Solve an add-to word problem within 20,COMPLEMENTARY,0.5599999999999999,0.56,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-2aa3bfaa-479d-e311-b77c-005056801da1-b690bc43-0230-4feb-999a-97ddcb1a30cf,2aa3bfaa-479d-e311-b77c-005056801da1,b690bc43-0230-4feb-999a-97ddcb1a30cf,Subtract within 20 using any strategy,Subtract within 1000 using pictures or concrete models,DISTINCT,0.9,0.48,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-950d2184-81cf-4adf-b512-316a433deefd-f72459b6-0171-421e-8965-4e69d802a7a6,f72459b6-0171-421e-8965-4e69d802a7a6,950d2184-81cf-4adf-b512-316a433deefd,Introduce events in first-grade narrative writing,Introduce a narrator in seventh-grade narrative writing,COMPLEMENTARY,0.5599999999999999,0.522,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-4bbec51a-a39f-e311-9503-005056801da1-f4bdc51a-a39f-e311-9503-005056801da1,f4bdc51a-a39f-e311-9503-005056801da1,4bbec51a-a39f-e311-9503-005056801da1,Answer a question using information from a picture graph,Answer a question using information from a scatter plot,DISTINCT,0.9,0.37,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-40bec51a-a39f-e311-9503-005056801da1-41bec51a-a39f-e311-9503-005056801da1,40bec51a-a39f-e311-9503-005056801da1,41bec51a-a39f-e311-9503-005056801da1,Determine the mean of a set of data,Determine the mode(s) of a set of data,COMPLEMENTARY,0.5599999999999999,0.6000000000000001,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
