SKILL_ID,SKILL_NAME,text_type,text_mode,text_genre,skill_domain,task_complexity,cognitive_demand,extraction_confidence,extraction_notes,extracted_timestamp
2e1c483a-f6b6-46fa-8e57-e6f8226ab4c4,"With support, identify some of the sounds of letters",not_applicable,not_applicable,not_applicable,reading,basic,recall,high,"Alphabetic knowledge focusing on letter-sound correspondence is a foundational pre-reading skill. Does not involve connected text, so text dimensions are not applicable. This is basic phonological awareness requiring recognition and recall of letter sounds with scaffolding.",2025-10-15T20:19:18.572947
e3c494a0-1f1f-40f9-b8f0-da84e8da8898,Identify some letters in printed words,not_applicable,not_applicable,not_applicable,reading,basic,recall,high,"This is a foundational alphabetic knowledge skill focused on letter recognition in print. It does not require engagement with specific text types or genres, but rather focuses on identifying individual letters as visual symbols within printed words. This is a prerequisite skill for reading development.",2025-10-15T20:19:23.389656
a30ff61e-e69f-e311-9503-005056801da1,Recognize the sounds of letters in lower- and uppercase form,not_applicable,not_applicable,not_applicable,reading,basic,recall,high,"This is a foundational alphabetic knowledge skill focused on letter-sound correspondence recognition. It does not involve connected text, so text-related dimensions are not applicable. The skill requires basic recall and recognition of phonetic sounds associated with letter symbols in both cases.",2025-10-15T20:19:27.657552
c795f9d2-a849-4531-ab5b-bd558bb125de,"Know the order of the alphabet (e.g., identify letters that come before or after another letter)",not_applicable,not_applicable,not_applicable,language,basic,recall,high,"This is a foundational alphabetic knowledge skill focused on letter sequence memorization and identification. It does not involve reading or analyzing texts, but rather requires recall of the alphabetic order and basic application of positional relationships (before/after).",2025-10-15T20:19:31.640927
23263971-e482-43ba-8882-fa8db08a07c0,"Write the letters of the alphabet including most upper- and lowercase letters (e.g., write first and last name)",not_applicable,not_applicable,not_applicable,writing,basic,application,high,"This is a foundational writing skill focused on letter formation and alphabetic knowledge. While basic in complexity, it requires application of motor skills and letter knowledge to produce written letters. Text-related dimensions are not applicable as this is about letter writing mechanics rather than text comprehension or composition.",2025-10-15T20:19:36.489910
9e0ff61e-e69f-e311-9503-005056801da1,"Distinguish between the shapes of upper- and lowercase letters (e.g., pick the letter that is different in <i>S</i>, <i>S</i>, <i>C</i>; pick the letter that is different in <i>E</i>, <i>f</i>, <i>f</i>)",not_applicable,not_applicable,not_applicable,reading,basic,analysis,high,"This is a foundational alphabetic knowledge skill focused on visual discrimination of letter forms. While the task requires analysis (comparing and distinguishing between similar letter shapes), it is basic in complexity as it represents foundational pre-reading skills. No text comprehension is involved, only letter recognition and differentiation.",2025-10-15T20:19:41.389452
0c0ed03d-350f-4466-a034-74dc40a78e16,Identify and match sounds to individual letters,not_applicable,not_applicable,not_applicable,reading,basic,recall,high,"This is a foundational phonics skill focused on letter-sound correspondence (alphabetic principle). It involves recognizing and matching individual phonemes to graphemes, which is a prerequisite skill for decoding and does not require interaction with connected text.",2025-10-15T20:19:45.197601
6641afac-babe-4fbc-8c59-f634102ce3de,Recognize all of the letters of the alphabet in order,not_applicable,not_applicable,not_applicable,reading,basic,recall,high,This is a foundational alphabetic knowledge skill requiring recognition and recall of letter sequence. No text interaction is involved - purely letter identification in alphabetical order.,2025-10-15T20:19:49.267085
9b0ff61e-e69f-e311-9503-005056801da1,"Distinguish letters from numbers (e.g., select <i>J</i> from choices <i>J</i>, <i>8</i>, <i>7</i>)",not_applicable,not_applicable,not_applicable,reading,basic,recall,high,"This is a foundational pre-literacy skill focused on visual discrimination and symbol recognition. It involves distinguishing between letter and number symbols, which is prerequisite knowledge for alphabetic principle. No text comprehension is involved, only symbol identification.",2025-10-15T20:19:54.383053
e4e73b78-9bce-4c17-ba54-88bf3fcc822a,Write all uppercase letters of the English alphabet,not_applicable,not_applicable,not_applicable,writing,basic,recall,high,"This is a foundational handwriting skill focused on letter formation. It involves motor skills and visual memory to reproduce uppercase letters, which is a basic recall and reproduction task in the writing domain. No text comprehension or genre analysis is involved.",2025-10-15T20:19:59.424984
